Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.01 GiB
  Estimated current peak: 0.22 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.61 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x8x8, Energy: 500, Angle: 7x7
Step 100, t = 2/40, IDD = 0.00800212
Step 200, t = 4/40, IDD = 0.00937462
Step 300, t = 6/40, IDD = 0.0124507
Step 400, t = 8/40, IDD = 0.000584134
Step 500, t = 10/40, IDD = 3.4549e-17
Step 600, t = 12/40, IDD = -1.18695e-34
Step 700, t = 14/40, IDD = 5.35696e-55
Step 800, t = 16/40, IDD = 5.11722e-75
Step 900, t = 18/40, IDD = 5.32672e-97
Step 1000, t = 20/40, IDD = -1.74837e-119
Step 1100, t = 22/40, IDD = -8.96197e-142
Step 1200, t = 24/40, IDD = -1.21602e-164
Step 1300, t = 26/40, IDD = -9.9651e-188
Step 1400, t = 28/40, IDD = -6.14456e-211
Step 1500, t = 30/40, IDD = -2.197e-234
Step 1600, t = 32/40, IDD = -7.95332e-258
Step 1700, t = 34/40, IDD = 2.0348e-280
Step 1800, t = 36/40, IDD = -6.56356e-303
Step 1900, t = 38/40, IDD = 2.8888e-319
Step 2000, t = 40/40, IDD = 3.16454e-319
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
